"","log10_neutR","efficacy1","efficacy2","efficacy3","efficacy4","efficacy5"
"1935",-3.066,0.000211084358692635,0.000533316165558752,0.00180521210233631,0.0197565704264649,0.0444388869503854
"1936",-3.065,0.000211738183624176,0.000534964135052102,0.00181074203317961,0.0198123518075544,0.044555151723799
"1937",-3.064,0.000212394030493239,0.000536617176984777,0.00181628870629404,0.0198682794538525,0.0446716838003083
"1938",-3.063,0.000213051905532716,0.000538275306850995,0.00182185217125047,0.0199243536982043,0.0447884836470183
"1939",-3.062,0.000213711814994592,0.000539938540191599,0.00182743247776037,0.0199805748739956,0.0449055517312911
"1940",-3.061,0.000214373765150004,0.000541606892594203,0.00183302967567624,0.0200369433151526,0.0450228885207444
"1941",-3.06,0.000215037762289297,0.000543280379693317,0.0018386438149919,0.0200934593561415,0.0451404944832484
"1942",-3.059,0.000215703812722083,0.000544959017170493,0.00184427494584292,0.0201501233319692,0.0452583700869247
"1943",-3.058,0.000216371922777299,0.000546642820754461,0.00184992311850696,0.0202069355781828,0.0453765158001433
"1944",-3.057,0.000217042098803265,0.00054833180622126,0.00185558838340413,0.0202638964308693,0.0454949320915208
"1945",-3.056,0.000217714347167743,0.000550025989394388,0.00186127079109738,0.0203210062266563,0.0456136194299186
"1946",-3.055,0.000218388674258,0.000551725386144929,0.00186697039229288,0.0203782653027111,0.0457325782844402
"1947",-3.054,0.000219065086480856,0.000553430012391696,0.00187268723784035,0.0204356739967413,0.0458518091244291
"1948",-3.053,0.000219743590262756,0.000555139884101378,0.00187842137873348,0.0204932326469943,0.0459713124194673
"1949",-3.052,0.000220424192049821,0.000556855017288665,0.00188417286611027,0.0205509415922576,0.0460910886393721
"1950",-3.051,0.000221106898307909,0.000558575428016399,0.00188994175125341,0.0206088011718581,0.0462111382541945
"1951",-3.05,0.000221791715522679,0.000560301132395713,0.00189572808559067,0.020666811725663,0.0463314617342172
"1952",-3.049,0.000222478650199642,0.000562032146586168,0.00190153192069527,0.0207249735940786,0.0464520595499517
"1953",-3.048,0.000223167708864231,0.000563768486795896,0.00190735330828625,0.0207832871180511,0.0465729321721368
"1954",-3.047,0.000223858898061856,0.000565510169281745,0.00191319230022883,0.020841752639066,0.0466940800717359
"1955",-3.046,0.000224552224357962,0.000567257210349414,0.00191904894853483,0.0209003704991481,0.0468155037199349
"1956",-3.045,0.000225247694338096,0.000569009626353604,0.00192492330536303,0.0209591410408616,0.04693720358814
"1957",-3.044,0.000225945314607962,0.000570767433698151,0.00193081542301952,0.0210180646073097,0.0470591801479755
"1958",-3.043,0.000226645091793486,0.000572530648836179,0.00193672535395812,0.0210771415421347,0.0471814338712813
"1959",-3.042,0.000227347032540873,0.000574299288270238,0.00194265315078076,0.0211363721895178,0.047303965230111
"1960",-3.041,0.000228051143516672,0.000576073368552446,0.00194859886623782,0.0211957568941787,0.0474267746967291
"1961",-3.04,0.000228757431407836,0.00057785290628464,0.00195456255322858,0.021255296001376,0.0475498627436091
"1962",-3.039,0.000229465902921784,0.000579637918118515,0.00196054426480153,0.021314989856907,0.0476732298434314
"1963",-3.038,0.000230176564786459,0.000581428420755771,0.0019665440541548,0.0213748388071067,0.0477968764690803
"1964",-3.037,0.000230889423750399,0.000583224430948261,0.00197256197463655,0.0214348431988491,0.0479208030936423
